GeoID,Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!With earnings!!Mean earnings (dollars),year
0500000US06037,"Los Angeles County, California",85998,2016
1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",69310,2016
1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",105382,2016
1400000US06037101210,"Census Tract 1012.10, Los Angeles County, California",55873,2016
1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",54076,2016
1400000US06037101300,"Census Tract 1013, Los Angeles County, California",88562,2016
1400000US06037101400,"Census Tract 1014, Los Angeles County, California",74579,2016
1400000US06037102103,"Census Tract 1021.03, Los Angeles County, California",77317,2016
1400000US06037102104,"Census Tract 1021.04, Los Angeles County, California",90499,2016
1400000US06037102105,"Census Tract 1021.05, Los Angeles County, California",69055,2016
1400000US06037102107,"Census Tract 1021.07, Los Angeles County, California",85789,2016
1400000US06037103101,"Census Tract 1031.01, Los Angeles County, California",90434,2016
1400000US06037103102,"Census Tract 1031.02, Los Angeles County, California",79647,2016
1400000US06037103200,"Census Tract 1032, Los Angeles County, California",68383,2016
1400000US06037103300,"Census Tract 1033, Los Angeles County, California",112139,2016
1400000US06037103400,"Census Tract 1034, Los Angeles County, California",90573,2016
1400000US06037104103,"Census Tract 1041.03, Los Angeles County, California",77309,2016
1400000US06037104105,"Census Tract 1041.05, Los Angeles County, California",53770,2016
1400000US06037104108,"Census Tract 1041.08, Los Angeles County, California",52149,2016
1400000US06037104124,"Census Tract 1041.24, Los Angeles County, California",90185,2016
1400000US06037104201,"Census Tract 1042.01, Los Angeles County, California",56625,2016
1400000US06037104203,"Census Tract 1042.03, Los Angeles County, California",57082,2016
1400000US06037104204,"Census Tract 1042.04, Los Angeles County, California",70424,2016
1400000US06037104310,"Census Tract 1043.10, Los Angeles County, California",72211,2016
1400000US06037104320,"Census Tract 1043.20, Los Angeles County, California",56174,2016
1400000US06037104401,"Census Tract 1044.01, Los Angeles County, California",64234,2016
1400000US06037104403,"Census Tract 1044.03, Los Angeles County, California",61836,2016
1400000US06037104404,"Census Tract 1044.04, Los Angeles County, California",51780,2016
1400000US06037104500,"Census Tract 1045, Los Angeles County, California",56408,2016
1400000US06037104610,"Census Tract 1046.10, Los Angeles County, California",55277,2016
1400000US06037104620,"Census Tract 1046.20, Los Angeles County, California",58812,2016
1400000US06037104701,"Census Tract 1047.01, Los Angeles County, California",37159,2016
1400000US06037104703,"Census Tract 1047.03, Los Angeles County, California",46363,2016
1400000US06037104704,"Census Tract 1047.04, Los Angeles County, California",56179,2016
1400000US06037104810,"Census Tract 1048.10, Los Angeles County, California",70437,2016
1400000US06037104821,"Census Tract 1048.21, Los Angeles County, California",66535,2016
1400000US06037104822,"Census Tract 1048.22, Los Angeles County, California",57647,2016
1400000US06037106010,"Census Tract 1060.10, Los Angeles County, California",82228,2016
1400000US06037106020,"Census Tract 1060.20, Los Angeles County, California",78758,2016
1400000US06037106111,"Census Tract 1061.11, Los Angeles County, California",87920,2016
1400000US06037106112,"Census Tract 1061.12, Los Angeles County, California",82737,2016
1400000US06037106113,"Census Tract 1061.13, Los Angeles County, California",86972,2016
1400000US06037106114,"Census Tract 1061.14, Los Angeles County, California",59910,2016
1400000US06037106403,"Census Tract 1064.03, Los Angeles County, California",59730,2016
1400000US06037106405,"Census Tract 1064.05, Los Angeles County, California",49507,2016
1400000US06037106406,"Census Tract 1064.06, Los Angeles County, California",83064,2016
1400000US06037106407,"Census Tract 1064.07, Los Angeles County, California",59238,2016
1400000US06037106408,"Census Tract 1064.08, Los Angeles County, California",55171,2016
1400000US06037106510,"Census Tract 1065.10, Los Angeles County, California",88540,2016
1400000US06037106520,"Census Tract 1065.20, Los Angeles County, California",73541,2016
1400000US06037106603,"Census Tract 1066.03, Los Angeles County, California",117004,2016
1400000US06037106604,"Census Tract 1066.04, Los Angeles County, California",66457,2016
1400000US06037106641,"Census Tract 1066.41, Los Angeles County, California",118512,2016
1400000US06037106642,"Census Tract 1066.42, Los Angeles County, California",131663,2016
1400000US06037106643,"Census Tract 1066.43, Los Angeles County, California",155608,2016
1400000US06037106645,"Census Tract 1066.45, Los Angeles County, California",131476,2016
1400000US06037106646,"Census Tract 1066.46, Los Angeles County, California",106976,2016
1400000US06037106648,"Census Tract 1066.48, Los Angeles County, California",55908,2016
1400000US06037106649,"Census Tract 1066.49, Los Angeles County, California",88167,2016
1400000US06037107010,"Census Tract 1070.10, Los Angeles County, California",67796,2016
1400000US06037107020,"Census Tract 1070.20, Los Angeles County, California",87320,2016
1400000US06037108101,"Census Tract 1081.01, Los Angeles County, California",161220,2016
1400000US06037108102,"Census Tract 1081.02, Los Angeles County, California",95388,2016
1400000US06037108103,"Census Tract 1081.03, Los Angeles County, California",144899,2016
1400000US06037108104,"Census Tract 1081.04, Los Angeles County, California",146939,2016
1400000US06037108201,"Census Tract 1082.01, Los Angeles County, California",145041,2016
1400000US06037108202,"Census Tract 1082.02, Los Angeles County, California",142754,2016
1400000US06037109100,"Census Tract 1091, Los Angeles County, California",101266,2016
1400000US06037109200,"Census Tract 1092, Los Angeles County, California",102520,2016
1400000US06037109300,"Census Tract 1093, Los Angeles County, California",93015,2016
1400000US06037109400,"Census Tract 1094, Los Angeles County, California",64728,2016
1400000US06037109500,"Census Tract 1095, Los Angeles County, California",62515,2016
1400000US06037109601,"Census Tract 1096.01, Los Angeles County, California",83855,2016
1400000US06037109603,"Census Tract 1096.03, Los Angeles County, California",62106,2016
1400000US06037109604,"Census Tract 1096.04, Los Angeles County, California",78692,2016
1400000US06037109700,"Census Tract 1097, Los Angeles County, California",90712,2016
1400000US06037109800,"Census Tract 1098, Los Angeles County, California",89800,2016
1400000US06037111100,"Census Tract 1111, Los Angeles County, California",92340,2016
1400000US06037111201,"Census Tract 1112.01, Los Angeles County, California",87611,2016
1400000US06037111202,"Census Tract 1112.02, Los Angeles County, California",82873,2016
1400000US06037111204,"Census Tract 1112.04, Los Angeles County, California",142371,2016
1400000US06037111205,"Census Tract 1112.05, Los Angeles County, California",92472,2016
1400000US06037111206,"Census Tract 1112.06, Los Angeles County, California",120740,2016
1400000US06037111301,"Census Tract 1113.01, Los Angeles County, California",64905,2016
1400000US06037111302,"Census Tract 1113.02, Los Angeles County, California",100013,2016
1400000US06037111400,"Census Tract 1114, Los Angeles County, California",99843,2016
1400000US06037113101,"Census Tract 1131.01, Los Angeles County, California",112834,2016
1400000US06037113102,"Census Tract 1131.02, Los Angeles County, California",155371,2016
1400000US06037113211,"Census Tract 1132.11, Los Angeles County, California",128541,2016
1400000US06037113212,"Census Tract 1132.12, Los Angeles County, California",92434,2016
1400000US06037113213,"Census Tract 1132.13, Los Angeles County, California",88660,2016
1400000US06037113231,"Census Tract 1132.31, Los Angeles County, California",102684,2016
1400000US06037113232,"Census Tract 1132.32, Los Angeles County, California",125295,2016
1400000US06037113233,"Census Tract 1132.33, Los Angeles County, California",52213,2016
1400000US06037113234,"Census Tract 1132.34, Los Angeles County, California",67316,2016
1400000US06037113235,"Census Tract 1132.35, Los Angeles County, California",82403,2016
1400000US06037113237,"Census Tract 1132.37, Los Angeles County, California",131219,2016
1400000US06037113301,"Census Tract 1133.01, Los Angeles County, California",112648,2016
1400000US06037113303,"Census Tract 1133.03, Los Angeles County, California",99000,2016
1400000US06037113321,"Census Tract 1133.21, Los Angeles County, California",64727,2016
1400000US06037113322,"Census Tract 1133.22, Los Angeles County, California",101024,2016
1400000US06037113401,"Census Tract 1134.01, Los Angeles County, California",85703,2016
1400000US06037113421,"Census Tract 1134.21, Los Angeles County, California",69244,2016
1400000US06037113422,"Census Tract 1134.22, Los Angeles County, California",69556,2016
1400000US06037115101,"Census Tract 1151.01, Los Angeles County, California",148734,2016
1400000US06037115103,"Census Tract 1151.03, Los Angeles County, California",86750,2016
1400000US06037115104,"Census Tract 1151.04, Los Angeles County, California",69643,2016
1400000US06037115201,"Census Tract 1152.01, Los Angeles County, California",68062,2016
1400000US06037115202,"Census Tract 1152.02, Los Angeles County, California",66405,2016
1400000US06037115301,"Census Tract 1153.01, Los Angeles County, California",93427,2016
1400000US06037115302,"Census Tract 1153.02, Los Angeles County, California",60814,2016
1400000US06037115401,"Census Tract 1154.01, Los Angeles County, California",67713,2016
1400000US06037115403,"Census Tract 1154.03, Los Angeles County, California",63776,2016
1400000US06037115404,"Census Tract 1154.04, Los Angeles County, California",61027,2016
1400000US06037117101,"Census Tract 1171.01, Los Angeles County, California",89597,2016
1400000US06037117102,"Census Tract 1171.02, Los Angeles County, California",75471,2016
1400000US06037117201,"Census Tract 1172.01, Los Angeles County, California",55245,2016
1400000US06037117202,"Census Tract 1172.02, Los Angeles County, California",109036,2016
1400000US06037117301,"Census Tract 1173.01, Los Angeles County, California",98530,2016
1400000US06037117302,"Census Tract 1173.02, Los Angeles County, California",105813,2016
1400000US06037117303,"Census Tract 1173.03, Los Angeles County, California",98859,2016
1400000US06037117404,"Census Tract 1174.04, Los Angeles County, California",93194,2016
1400000US06037117405,"Census Tract 1174.05, Los Angeles County, California",37575,2016
1400000US06037117407,"Census Tract 1174.07, Los Angeles County, California",32925,2016
1400000US06037117408,"Census Tract 1174.08, Los Angeles County, California",44489,2016
1400000US06037117510,"Census Tract 1175.10, Los Angeles County, California",47085,2016
1400000US06037117520,"Census Tract 1175.20, Los Angeles County, California",43577,2016
1400000US06037117530,"Census Tract 1175.30, Los Angeles County, California",52839,2016
1400000US06037119001,"Census Tract 1190.01, Los Angeles County, California",74391,2016
1400000US06037119002,"Census Tract 1190.02, Los Angeles County, California",77923,2016
1400000US06037119201,"Census Tract 1192.01, Los Angeles County, California",76685,2016
1400000US06037119202,"Census Tract 1192.02, Los Angeles County, California",64764,2016
1400000US06037119310,"Census Tract 1193.10, Los Angeles County, California",60759,2016
1400000US06037119320,"Census Tract 1193.20, Los Angeles County, California",54065,2016
1400000US06037119340,"Census Tract 1193.40, Los Angeles County, California",34355,2016
1400000US06037119341,"Census Tract 1193.41, Los Angeles County, California",62017,2016
1400000US06037119342,"Census Tract 1193.42, Los Angeles County, California",51343,2016
1400000US06037119400,"Census Tract 1194, Los Angeles County, California",71496,2016
1400000US06037119700,"Census Tract 1197, Los Angeles County, California",86552,2016
1400000US06037119800,"Census Tract 1198, Los Angeles County, California",81025,2016
1400000US06037119900,"Census Tract 1199, Los Angeles County, California",77709,2016
1400000US06037120010,"Census Tract 1200.10, Los Angeles County, California",58610,2016
1400000US06037120020,"Census Tract 1200.20, Los Angeles County, California",49551,2016
1400000US06037120030,"Census Tract 1200.30, Los Angeles County, California",38112,2016
