GeoID,Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars),year
0500000US06037,"Los Angeles County, California",99675,2019
1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",82026,2019
1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",109412,2019
1400000US06037101210,"Census Tract 1012.10, Los Angeles County, California",63458,2019
1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",68903,2019
1400000US06037101300,"Census Tract 1013, Los Angeles County, California",98470,2019
1400000US06037101400,"Census Tract 1014, Los Angeles County, California",89662,2019
1400000US06037102103,"Census Tract 1021.03, Los Angeles County, California",97296,2019
1400000US06037102104,"Census Tract 1021.04, Los Angeles County, California",120315,2019
1400000US06037102105,"Census Tract 1021.05, Los Angeles County, California",77212,2019
1400000US06037102107,"Census Tract 1021.07, Los Angeles County, California",106808,2019
1400000US06037103101,"Census Tract 1031.01, Los Angeles County, California",108483,2019
1400000US06037103102,"Census Tract 1031.02, Los Angeles County, California",94870,2019
1400000US06037103200,"Census Tract 1032, Los Angeles County, California",105258,2019
1400000US06037103300,"Census Tract 1033, Los Angeles County, California",152951,2019
1400000US06037103400,"Census Tract 1034, Los Angeles County, California",108347,2019
1400000US06037104103,"Census Tract 1041.03, Los Angeles County, California",92204,2019
1400000US06037104105,"Census Tract 1041.05, Los Angeles County, California",84467,2019
1400000US06037104108,"Census Tract 1041.08, Los Angeles County, California",66597,2019
1400000US06037104124,"Census Tract 1041.24, Los Angeles County, California",104619,2019
1400000US06037104201,"Census Tract 1042.01, Los Angeles County, California",64161,2019
1400000US06037104203,"Census Tract 1042.03, Los Angeles County, California",67422,2019
1400000US06037104204,"Census Tract 1042.04, Los Angeles County, California",78505,2019
1400000US06037104310,"Census Tract 1043.10, Los Angeles County, California",96762,2019
1400000US06037104320,"Census Tract 1043.20, Los Angeles County, California",77572,2019
