GeoID,Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars),year
0500000US06037,"Los Angeles County, California",119875,2022
1400000US06037101110,Census Tract 1011.10; Los Angeles County; California,99185,2022
1400000US06037101122,Census Tract 1011.22; Los Angeles County; California,134093,2022
1400000US06037101220,Census Tract 1012.20; Los Angeles County; California,103452,2022
1400000US06037101221,Census Tract 1012.21; Los Angeles County; California,86758,2022
1400000US06037101222,Census Tract 1012.22; Los Angeles County; California,77090,2022
1400000US06037101300,Census Tract 1013; Los Angeles County; California,117975,2022
1400000US06037101400,Census Tract 1014; Los Angeles County; California,97465,2022
1400000US06037102103,Census Tract 1021.03; Los Angeles County; California,78964,2022
1400000US06037102104,Census Tract 1021.04; Los Angeles County; California,127777,2022
1400000US06037102105,Census Tract 1021.05; Los Angeles County; California,117225,2022
1400000US06037102107,Census Tract 1021.07; Los Angeles County; California,121746,2022
1400000US06037103101,Census Tract 1031.01; Los Angeles County; California,124746,2022
1400000US06037103102,Census Tract 1031.02; Los Angeles County; California,106607,2022
1400000US06037103201,Census Tract 1032.01; Los Angeles County; California,120351,2022
1400000US06037103202,Census Tract 1032.02; Los Angeles County; California,138742,2022
1400000US06037103300,Census Tract 1033; Los Angeles County; California,164020,2022
1400000US06037103401,Census Tract 1034.01; Los Angeles County; California,104778,2022
1400000US06037103402,Census Tract 1034.02; Los Angeles County; California,117904,2022
1400000US06037104103,Census Tract 1041.03; Los Angeles County; California,114094,2022
1400000US06037104105,Census Tract 1041.05; Los Angeles County; California,74320,2022
1400000US06037104108,Census Tract 1041.08; Los Angeles County; California,91807,2022
1400000US06037104124,Census Tract 1041.24; Los Angeles County; California,99461,2022
1400000US06037104201,Census Tract 1042.01; Los Angeles County; California,120894,2022
1400000US06037104203,Census Tract 1042.03; Los Angeles County; California,87070,2022
1400000US06037104204,Census Tract 1042.04; Los Angeles County; California,94210,2022
1400000US06037104310,Census Tract 1043.10; Los Angeles County; California,104114,2022
1400000US06037104321,Census Tract 1043.21; Los Angeles County; California,69746,2022
1400000US06037104322,Census Tract 1043.22; Los Angeles County; California,82598,2022
1400000US06037104401,Census Tract 1044.01; Los Angeles County; California,81907,2022
1400000US06037104403,Census Tract 1044.03; Los Angeles County; California,140288,2022
1400000US06037104404,Census Tract 1044.04; Los Angeles County; California,86693,2022
1400000US06037104500,Census Tract 1045; Los Angeles County; California,89718,2022
1400000US06037104610,Census Tract 1046.10; Los Angeles County; California,90904,2022
1400000US06037104620,Census Tract 1046.20; Los Angeles County; California,98177,2022
1400000US06037104701,Census Tract 1047.01; Los Angeles County; California,60243,2022
1400000US06037104703,Census Tract 1047.03; Los Angeles County; California,69718,2022
1400000US06037104704,Census Tract 1047.04; Los Angeles County; California,70792,2022
1400000US06037104821,Census Tract 1048.21; Los Angeles County; California,75529,2022
1400000US06037104822,Census Tract 1048.22; Los Angeles County; California,82097,2022
1400000US06037104823,Census Tract 1048.23; Los Angeles County; California,84900,2022
1400000US06037104824,Census Tract 1048.24; Los Angeles County; California,107351,2022
1400000US06037106010,Census Tract 1060.10; Los Angeles County; California,131018,2022
1400000US06037106020,Census Tract 1060.20; Los Angeles County; California,117920,2022
1400000US06037106111,Census Tract 1061.11; Los Angeles County; California,127243,2022
1400000US06037106112,Census Tract 1061.12; Los Angeles County; California,105599,2022
1400000US06037106113,Census Tract 1061.13; Los Angeles County; California,115817,2022
1400000US06037106114,Census Tract 1061.14; Los Angeles County; California,90246,2022
1400000US06037106403,Census Tract 1064.03; Los Angeles County; California,116437,2022
1400000US06037106405,Census Tract 1064.05; Los Angeles County; California,94517,2022
1400000US06037106406,Census Tract 1064.06; Los Angeles County; California,128507,2022
1400000US06037106407,Census Tract 1064.07; Los Angeles County; California,55419,2022
1400000US06037106408,Census Tract 1064.08; Los Angeles County; California,64327,2022
1400000US06037106510,Census Tract 1065.10; Los Angeles County; California,122064,2022
1400000US06037106520,Census Tract 1065.20; Los Angeles County; California,97411,2022
1400000US06037106603,Census Tract 1066.03; Los Angeles County; California,147369,2022
1400000US06037106604,Census Tract 1066.04; Los Angeles County; California,96264,2022
1400000US06037106641,Census Tract 1066.41; Los Angeles County; California,165023,2022
1400000US06037106642,Census Tract 1066.42; Los Angeles County; California,150464,2022
1400000US06037106643,Census Tract 1066.43; Los Angeles County; California,248850,2022
1400000US06037106645,Census Tract 1066.45; Los Angeles County; California,150860,2022
1400000US06037106646,Census Tract 1066.46; Los Angeles County; California,132072,2022
1400000US06037106648,Census Tract 1066.48; Los Angeles County; California,80465,2022
1400000US06037106649,Census Tract 1066.49; Los Angeles County; California,113175,2022
1400000US06037107010,Census Tract 1070.10; Los Angeles County; California,104169,2022
1400000US06037107020,Census Tract 1070.20; Los Angeles County; California,93263,2022
1400000US06037108101,Census Tract 1081.01; Los Angeles County; California,169933,2022
1400000US06037108102,Census Tract 1081.02; Los Angeles County; California,154620,2022
1400000US06037108103,Census Tract 1081.03; Los Angeles County; California,190873,2022
1400000US06037108104,Census Tract 1081.04; Los Angeles County; California,154507,2022
1400000US06037108202,Census Tract 1082.02; Los Angeles County; California,203046,2022
1400000US06037108203,Census Tract 1082.03; Los Angeles County; California,153675,2022
1400000US06037108204,Census Tract 1082.04; Los Angeles County; California,170232,2022
1400000US06037109100,Census Tract 1091; Los Angeles County; California,108084,2022
1400000US06037109200,Census Tract 1092; Los Angeles County; California,142416,2022
1400000US06037109300,Census Tract 1093; Los Angeles County; California,155479,2022
1400000US06037109400,Census Tract 1094; Los Angeles County; California,110174,2022
1400000US06037109500,Census Tract 1095; Los Angeles County; California,74977,2022
1400000US06037109601,Census Tract 1096.01; Los Angeles County; California,117126,2022
1400000US06037109603,Census Tract 1096.03; Los Angeles County; California,110826,2022
1400000US06037109604,Census Tract 1096.04; Los Angeles County; California,104164,2022
1400000US06037109700,Census Tract 1097; Los Angeles County; California,120901,2022
1400000US06037109800,Census Tract 1098; Los Angeles County; California,110250,2022
1400000US06037111100,Census Tract 1111; Los Angeles County; California,143690,2022
1400000US06037111201,Census Tract 1112.01; Los Angeles County; California,185690,2022
1400000US06037111202,Census Tract 1112.02; Los Angeles County; California,125596,2022
1400000US06037111204,Census Tract 1112.04; Los Angeles County; California,185275,2022
1400000US06037111205,Census Tract 1112.05; Los Angeles County; California,133665,2022
1400000US06037111206,Census Tract 1112.06; Los Angeles County; California,174205,2022
1400000US06037111302,Census Tract 1113.02; Los Angeles County; California,112194,2022
1400000US06037111303,Census Tract 1113.03; Los Angeles County; California,112081,2022
