GeoID,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Percent!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Percent!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Percent!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Percent!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Percent!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!62 years and over,Percent!!SEX AND AGE!!62 years and over,Estimate!!SEX AND AGE!!18 years and over.1,Percent!!SEX AND AGE!!18 years and over.1,Estimate!!SEX AND AGE!!18 years and over!!Male,Percent!!SEX AND AGE!!18 years and over!!Male,Estimate!!SEX AND AGE!!18 years and over!!Female,Percent!!SEX AND AGE!!18 years and over!!Female,year
0500000US06037,"Los Angeles County, California",9974203,9974203,4913688,49.3,5060515,50.7,7626603,76.5,7175857,71.9,1429374,14.3,7626603,7626603,3714170,48.7,3912433,51.3,2014
1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",4898,4898,2452,50.1,2446,49.9,3917,80.0,3668,74.9,728,14.9,3917,3917,1954,49.9,1963,50.1,2014
1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",3491,3491,1715,49.1,1776,50.9,2814,80.6,2743,78.6,694,19.9,2814,2814,1389,49.4,1425,50.6,2014
1400000US06037101210,"Census Tract 1012.10, Los Angeles County, California",6216,6216,3124,50.3,3092,49.7,4854,78.1,4611,74.2,616,9.9,4854,4854,2395,49.3,2459,50.7,2014
1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",2830,2830,1319,46.6,1511,53.4,2314,81.8,2275,80.4,526,18.6,2314,2314,1014,43.8,1300,56.2,2014
1400000US06037101300,"Census Tract 1013, Los Angeles County, California",4267,4267,2006,47.0,2261,53.0,3568,83.6,3548,83.1,961,22.5,3568,3568,1715,48.1,1853,51.9,2014
1400000US06037101400,"Census Tract 1014, Los Angeles County, California",4305,4305,2054,47.7,2251,52.3,3539,82.2,3384,78.6,834,19.4,3539,3539,1692,47.8,1847,52.2,2014
1400000US06037102103,"Census Tract 1021.03, Los Angeles County, California",1947,1947,865,44.4,1082,55.6,1638,84.1,1620,83.2,417,21.4,1638,1638,713,43.5,925,56.5,2014
1400000US06037102104,"Census Tract 1021.04, Los Angeles County, California",3344,3344,1649,49.3,1695,50.7,2962,88.6,2752,82.3,682,20.4,2962,2962,1396,47.1,1566,52.9,2014
1400000US06037102105,"Census Tract 1021.05, Los Angeles County, California",1880,1880,939,49.9,941,50.1,1492,79.4,1399,74.4,194,10.3,1492,1492,761,51.0,731,49.0,2014
1400000US06037102107,"Census Tract 1021.07, Los Angeles County, California",3793,3793,2039,53.8,1754,46.2,3061,80.7,2895,76.3,977,25.8,3061,3061,1659,54.2,1402,45.8,2014
1400000US06037103101,"Census Tract 1031.01, Los Angeles County, California",2964,2964,1658,55.9,1306,44.1,2454,82.8,2345,79.1,451,15.2,2454,2454,1321,53.8,1133,46.2,2014
1400000US06037103102,"Census Tract 1031.02, Los Angeles County, California",4733,4733,2029,42.9,2704,57.1,3888,82.1,3758,79.4,712,15.0,3888,3888,1652,42.5,2236,57.5,2014
1400000US06037103200,"Census Tract 1032, Los Angeles County, California",6289,6289,3530,56.1,2759,43.9,5168,82.2,5035,80.1,1365,21.7,5168,5168,2879,55.7,2289,44.3,2014
1400000US06037103300,"Census Tract 1033, Los Angeles County, California",3311,3311,1764,53.3,1547,46.7,2794,84.4,2704,81.7,681,20.6,2794,2794,1393,49.9,1401,50.1,2014
1400000US06037103400,"Census Tract 1034, Los Angeles County, California",6908,6908,3424,49.6,3484,50.4,5579,80.8,5317,77.0,1124,16.3,5579,5579,2678,48.0,2901,52.0,2014
1400000US06037104103,"Census Tract 1041.03, Los Angeles County, California",3814,3814,1795,47.1,2019,52.9,2831,74.2,2520,66.1,559,14.7,2831,2831,1365,48.2,1466,51.8,2014
1400000US06037104105,"Census Tract 1041.05, Los Angeles County, California",5871,5871,2638,44.9,3233,55.1,3950,67.3,3618,61.6,577,9.8,3950,3950,1754,44.4,2196,55.6,2014
1400000US06037104108,"Census Tract 1041.08, Los Angeles County, California",5076,5076,2490,49.1,2586,50.9,3680,72.5,3397,66.9,529,10.4,3680,3680,1918,52.1,1762,47.9,2014
1400000US06037104124,"Census Tract 1041.24, Los Angeles County, California",4227,4227,2312,54.7,1915,45.3,3419,80.9,3215,76.1,722,17.1,3419,3419,1835,53.7,1584,46.3,2014
1400000US06037104201,"Census Tract 1042.01, Los Angeles County, California",4591,4591,2417,52.6,2174,47.4,3304,72.0,3064,66.7,308,6.7,3304,3304,1713,51.8,1591,48.2,2014
1400000US06037104203,"Census Tract 1042.03, Los Angeles County, California",4830,4830,2382,49.3,2448,50.7,3227,66.8,3007,62.3,369,7.6,3227,3227,1651,51.2,1576,48.8,2014
1400000US06037104204,"Census Tract 1042.04, Los Angeles County, California",3438,3438,1879,54.7,1559,45.3,2568,74.7,2412,70.2,362,10.5,2568,2568,1394,54.3,1174,45.7,2014
1400000US06037104310,"Census Tract 1043.10, Los Angeles County, California",5028,5028,2463,49.0,2565,51.0,3747,74.5,3460,68.8,525,10.4,3747,3747,1917,51.2,1830,48.8,2014
1400000US06037104320,"Census Tract 1043.20, Los Angeles County, California",5868,5868,2885,49.2,2983,50.8,4533,77.2,4193,71.5,640,10.9,4533,4533,2251,49.7,2282,50.3,2014
1400000US06037104401,"Census Tract 1044.01, Los Angeles County, California",3509,3509,1826,52.0,1683,48.0,2337,66.6,2163,61.6,323,9.2,2337,2337,1230,52.6,1107,47.4,2014
1400000US06037104403,"Census Tract 1044.03, Los Angeles County, California",2851,2851,1377,48.3,1474,51.7,2071,72.6,1907,66.9,368,12.9,2071,2071,1081,52.2,990,47.8,2014
1400000US06037104404,"Census Tract 1044.04, Los Angeles County, California",2845,2845,1563,54.9,1282,45.1,2079,73.1,2010,70.7,354,12.4,2079,2079,1159,55.7,920,44.3,2014
1400000US06037104500,"Census Tract 1045, Los Angeles County, California",2906,2906,1361,46.8,1545,53.2,2160,74.3,2003,68.9,237,8.2,2160,2160,1063,49.2,1097,50.8,2014
1400000US06037104610,"Census Tract 1046.10, Los Angeles County, California",3553,3553,1797,50.6,1756,49.4,2471,69.5,2319,65.3,329,9.3,2471,2471,1260,51.0,1211,49.0,2014
1400000US06037104620,"Census Tract 1046.20, Los Angeles County, California",3421,3421,1689,49.4,1732,50.6,2355,68.8,2150,62.8,423,12.4,2355,2355,1171,49.7,1184,50.3,2014
1400000US06037104701,"Census Tract 1047.01, Los Angeles County, California",3836,3836,1625,42.4,2211,57.6,2358,61.5,2063,53.8,326,8.5,2358,2358,945,40.1,1413,59.9,2014
1400000US06037104703,"Census Tract 1047.03, Los Angeles County, California",2138,2138,1124,52.6,1014,47.4,1390,65.0,1261,59.0,182,8.5,1390,1390,761,54.7,629,45.3,2014
1400000US06037104704,"Census Tract 1047.04, Los Angeles County, California",4357,4357,2195,50.4,2162,49.6,2982,68.4,2822,64.8,300,6.9,2982,2982,1438,48.2,1544,51.8,2014
1400000US06037104810,"Census Tract 1048.10, Los Angeles County, California",5729,5729,2801,48.9,2928,51.1,3942,68.8,3696,64.5,713,12.4,3942,3942,1905,48.3,2037,51.7,2014
1400000US06037104821,"Census Tract 1048.21, Los Angeles County, California",3290,3290,1665,50.6,1625,49.4,2366,71.9,2111,64.2,296,9.0,2366,2366,1208,51.1,1158,48.9,2014
1400000US06037104822,"Census Tract 1048.22, Los Angeles County, California",2228,2228,1134,50.9,1094,49.1,1554,69.7,1423,63.9,187,8.4,1554,1554,874,56.2,680,43.8,2014
1400000US06037106010,"Census Tract 1060.10, Los Angeles County, California",2924,2924,1424,48.7,1500,51.3,2268,77.6,2125,72.7,386,13.2,2268,2268,1146,50.5,1122,49.5,2014
1400000US06037106020,"Census Tract 1060.20, Los Angeles County, California",6499,6499,3114,47.9,3385,52.1,4609,70.9,4341,66.8,876,13.5,4609,4609,2278,49.4,2331,50.6,2014
1400000US06037106111,"Census Tract 1061.11, Los Angeles County, California",4582,4582,2435,53.1,2147,46.9,3387,73.9,3294,71.9,780,17.0,3387,3387,1676,49.5,1711,50.5,2014
1400000US06037106112,"Census Tract 1061.12, Los Angeles County, California",6026,6026,2959,49.1,3067,50.9,4328,71.8,4087,67.8,780,12.9,4328,4328,2128,49.2,2200,50.8,2014
1400000US06037106113,"Census Tract 1061.13, Los Angeles County, California",3560,3560,1860,52.2,1700,47.8,2688,75.5,2498,70.2,485,13.6,2688,2688,1371,51.0,1317,49.0,2014
1400000US06037106114,"Census Tract 1061.14, Los Angeles County, California",5729,5729,2927,51.1,2802,48.9,3962,69.2,3734,65.2,453,7.9,3962,3962,1918,48.4,2044,51.6,2014
1400000US06037106403,"Census Tract 1064.03, Los Angeles County, California",3258,3258,1550,47.6,1708,52.4,2507,76.9,2378,73.0,446,13.7,2507,2507,1217,48.5,1290,51.5,2014
1400000US06037106405,"Census Tract 1064.05, Los Angeles County, California",3377,3377,1555,46.0,1822,54.0,2449,72.5,2340,69.3,303,9.0,2449,2449,1056,43.1,1393,56.9,2014
1400000US06037106406,"Census Tract 1064.06, Los Angeles County, California",5289,5289,2370,44.8,2919,55.2,3974,75.1,3687,69.7,681,12.9,3974,3974,1738,43.7,2236,56.3,2014
1400000US06037106407,"Census Tract 1064.07, Los Angeles County, California",2670,2670,1160,43.4,1510,56.6,1897,71.0,1776,66.5,468,17.5,1897,1897,752,39.6,1145,60.4,2014
1400000US06037106408,"Census Tract 1064.08, Los Angeles County, California",3769,3769,1812,48.1,1957,51.9,2436,64.6,2095,55.6,151,4.0,2436,2436,1124,46.1,1312,53.9,2014
1400000US06037106510,"Census Tract 1065.10, Los Angeles County, California",5274,5274,2766,52.4,2508,47.6,3681,69.8,3493,66.2,651,12.3,3681,3681,1789,48.6,1892,51.4,2014
1400000US06037106520,"Census Tract 1065.20, Los Angeles County, California",5672,5672,2741,48.3,2931,51.7,4203,74.1,3874,68.3,888,15.7,4203,4203,2024,48.2,2179,51.8,2014
1400000US06037106603,"Census Tract 1066.03, Los Angeles County, California",3310,3310,1635,49.4,1675,50.6,2474,74.7,2364,71.4,618,18.7,2474,2474,1232,49.8,1242,50.2,2014
1400000US06037106604,"Census Tract 1066.04, Los Angeles County, California",4785,4785,2239,46.8,2546,53.2,3271,68.4,3047,63.7,415,8.7,3271,3271,1632,49.9,1639,50.1,2014
1400000US06037106641,"Census Tract 1066.41, Los Angeles County, California",2176,2176,1227,56.4,949,43.6,1792,82.4,1725,79.3,540,24.8,1792,1792,975,54.4,817,45.6,2014
1400000US06037106642,"Census Tract 1066.42, Los Angeles County, California",3323,3323,1610,48.5,1713,51.5,2677,80.6,2575,77.5,668,20.1,2677,2677,1337,49.9,1340,50.1,2014
1400000US06037106643,"Census Tract 1066.43, Los Angeles County, California",4452,4452,2043,45.9,2409,54.1,3503,78.7,3299,74.1,809,18.2,3503,3503,1611,46.0,1892,54.0,2014
1400000US06037106645,"Census Tract 1066.45, Los Angeles County, California",3499,3499,1649,47.1,1850,52.9,2700,77.2,2597,74.2,908,26.0,2700,2700,1225,45.4,1475,54.6,2014
1400000US06037106646,"Census Tract 1066.46, Los Angeles County, California",3505,3505,1644,46.9,1861,53.1,2827,80.7,2661,75.9,732,20.9,2827,2827,1218,43.1,1609,56.9,2014
1400000US06037106648,"Census Tract 1066.48, Los Angeles County, California",4348,4348,2216,51.0,2132,49.0,3003,69.1,2734,62.9,403,9.3,3003,3003,1491,49.7,1512,50.3,2014
1400000US06037106649,"Census Tract 1066.49, Los Angeles County, California",2605,2605,1361,52.2,1244,47.8,1987,76.3,1915,73.5,377,14.5,1987,1987,1016,51.1,971,48.9,2014
1400000US06037107010,"Census Tract 1070.10, Los Angeles County, California",3175,3175,1692,53.3,1483,46.7,2427,76.4,2267,71.4,420,13.2,2427,2427,1313,54.1,1114,45.9,2014
1400000US06037107020,"Census Tract 1070.20, Los Angeles County, California",5150,5150,2522,49.0,2628,51.0,3887,75.5,3659,71.0,534,10.4,3887,3887,1921,49.4,1966,50.6,2014
1400000US06037108101,"Census Tract 1081.01, Los Angeles County, California",2330,2330,1223,52.5,1107,47.5,1960,84.1,1915,82.2,639,27.4,1960,1960,1008,51.4,952,48.6,2014
1400000US06037108102,"Census Tract 1081.02, Los Angeles County, California",3727,3727,1746,46.8,1981,53.2,3057,82.0,2927,78.5,800,21.5,3057,3057,1382,45.2,1675,54.8,2014
1400000US06037108103,"Census Tract 1081.03, Los Angeles County, California",3289,3289,1607,48.9,1682,51.1,2692,81.8,2540,77.2,863,26.2,2692,2692,1322,49.1,1370,50.9,2014
1400000US06037108104,"Census Tract 1081.04, Los Angeles County, California",1861,1861,879,47.2,982,52.8,1371,73.7,1304,70.1,391,21.0,1371,1371,697,50.8,674,49.2,2014
1400000US06037108201,"Census Tract 1082.01, Los Angeles County, California",5695,5695,2508,44.0,3187,56.0,4172,73.3,4008,70.4,987,17.3,4172,4172,1842,44.2,2330,55.8,2014
1400000US06037108202,"Census Tract 1082.02, Los Angeles County, California",5891,5891,2766,47.0,3125,53.0,4489,76.2,4382,74.4,1176,20.0,4489,4489,2056,45.8,2433,54.2,2014
1400000US06037109100,"Census Tract 1091, Los Angeles County, California",2377,2377,1080,45.4,1297,54.6,2001,84.2,1919,80.7,705,29.7,2001,2001,858,42.9,1143,57.1,2014
1400000US06037109200,"Census Tract 1092, Los Angeles County, California",2673,2673,1377,51.5,1296,48.5,1961,73.4,1893,70.8,409,15.3,1961,1961,999,50.9,962,49.1,2014
1400000US06037109300,"Census Tract 1093, Los Angeles County, California",3512,3512,1772,50.5,1740,49.5,2706,77.1,2632,74.9,575,16.4,2706,2706,1319,48.7,1387,51.3,2014
1400000US06037109400,"Census Tract 1094, Los Angeles County, California",3563,3563,1824,51.2,1739,48.8,2842,79.8,2723,76.4,643,18.0,2842,2842,1398,49.2,1444,50.8,2014
1400000US06037109500,"Census Tract 1095, Los Angeles County, California",4834,4834,2375,49.1,2459,50.9,3342,69.1,3133,64.8,510,10.6,3342,3342,1632,48.8,1710,51.2,2014
1400000US06037109601,"Census Tract 1096.01, Los Angeles County, California",5285,5285,2482,47.0,2803,53.0,4092,77.4,3851,72.9,821,15.5,4092,4092,1999,48.9,2093,51.1,2014
1400000US06037109603,"Census Tract 1096.03, Los Angeles County, California",4017,4017,1782,44.4,2235,55.6,3133,78.0,2915,72.6,565,14.1,3133,3133,1399,44.7,1734,55.3,2014
1400000US06037109604,"Census Tract 1096.04, Los Angeles County, California",2954,2954,1542,52.2,1412,47.8,2379,80.5,2215,75.0,547,18.5,2379,2379,1145,48.1,1234,51.9,2014
1400000US06037109700,"Census Tract 1097, Los Angeles County, California",4727,4727,2356,49.8,2371,50.2,3624,76.7,3541,74.9,807,17.1,3624,3624,1645,45.4,1979,54.6,2014
1400000US06037109800,"Census Tract 1098, Los Angeles County, California",4385,4385,2296,52.4,2089,47.6,3461,78.9,3297,75.2,800,18.2,3461,3461,1761,50.9,1700,49.1,2014
1400000US06037111100,"Census Tract 1111, Los Angeles County, California",3017,3017,1616,53.6,1401,46.4,2333,77.3,2188,72.5,471,15.6,2333,2333,1292,55.4,1041,44.6,2014
1400000US06037111201,"Census Tract 1112.01, Los Angeles County, California",3377,3377,1579,46.8,1798,53.2,2850,84.4,2808,83.2,933,27.6,2850,2850,1281,44.9,1569,55.1,2014
1400000US06037111202,"Census Tract 1112.02, Los Angeles County, California",5255,5255,2585,49.2,2670,50.8,4068,77.4,3832,72.9,1099,20.9,4068,4068,1900,46.7,2168,53.3,2014
1400000US06037111204,"Census Tract 1112.04, Los Angeles County, California",6163,6163,3144,51.0,3019,49.0,4881,79.2,4559,74.0,1429,23.2,4881,4881,2498,51.2,2383,48.8,2014
1400000US06037111205,"Census Tract 1112.05, Los Angeles County, California",3841,3841,2078,54.1,1763,45.9,3035,79.0,2896,75.4,742,19.3,3035,3035,1673,55.1,1362,44.9,2014
