GeoID,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Estimate!!SEX AND AGE!!Total population!!Under 5 years,Estimate!!SEX AND AGE!!Total population!!5 to 9 years,Estimate!!SEX AND AGE!!Total population!!10 to 14 years,Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Estimate!!SEX AND AGE!!Total population!!25 to 34 years,Estimate!!SEX AND AGE!!Total population!!35 to 44 years,Estimate!!SEX AND AGE!!Total population!!45 to 54 years,Estimate!!SEX AND AGE!!Total population!!55 to 59 years,Estimate!!SEX AND AGE!!Total population!!60 to 64 years,Estimate!!SEX AND AGE!!Total population!!65 to 74 years,Estimate!!SEX AND AGE!!Total population!!75 to 84 years,Estimate!!SEX AND AGE!!Total population!!85 years and over,Estimate!!SEX AND AGE!!Total population!!Median age (years),Estimate!!SEX AND AGE!!Total population!!Under 18 years,Estimate!!SEX AND AGE!!Total population!!16 years and over,Estimate!!SEX AND AGE!!Total population!!18 years and over,Estimate!!SEX AND AGE!!Total population!!21 years and over,Estimate!!SEX AND AGE!!Total population!!62 years and over,Estimate!!SEX AND AGE!!Total population!!65 years and over,Estimate!!SEX AND AGE!!Total population!!18 years and over.1,Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),Estimate!!SEX AND AGE!!Total population!!65 years and over.1,Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),Percent!!SEX AND AGE!!Total population,Percent!!SEX AND AGE!!Total population!!Male,Percent!!SEX AND AGE!!Total population!!Female,Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Percent!!SEX AND AGE!!Total population!!Under 5 years,Percent!!SEX AND AGE!!Total population!!5 to 9 years,Percent!!SEX AND AGE!!Total population!!10 to 14 years,Percent!!SEX AND AGE!!Total population!!15 to 19 years,Percent!!SEX AND AGE!!Total population!!20 to 24 years,Percent!!SEX AND AGE!!Total population!!25 to 34 years,Percent!!SEX AND AGE!!Total population!!35 to 44 years,Percent!!SEX AND AGE!!Total population!!45 to 54 years,Percent!!SEX AND AGE!!Total population!!55 to 59 years,Percent!!SEX AND AGE!!Total population!!60 to 64 years,Percent!!SEX AND AGE!!Total population!!65 to 74 years,Percent!!SEX AND AGE!!Total population!!75 to 84 years,Percent!!SEX AND AGE!!Total population!!85 years and over,Percent!!SEX AND AGE!!Total population!!Median age (years),Percent!!SEX AND AGE!!Total population!!Under 18 years,Percent!!SEX AND AGE!!Total population!!16 years and over,Percent!!SEX AND AGE!!Total population!!18 years and over,Percent!!SEX AND AGE!!Total population!!21 years and over,Percent!!SEX AND AGE!!Total population!!62 years and over,Percent!!SEX AND AGE!!Total population!!65 years and over,Percent!!SEX AND AGE!!Total population!!18 years and over.1,Percent!!SEX AND AGE!!Total population!!18 years and over!!Male,Percent!!SEX AND AGE!!Total population!!18 years and over!!Female,Percent!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),Percent!!SEX AND AGE!!Total population!!65 years and over.1,Percent!!SEX AND AGE!!Total population!!65 years and over!!Male,Percent!!SEX AND AGE!!Total population!!65 years and over!!Female,Percent!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),year
0500000US06037,"Los Angeles County, California",10081570,4969382,5112188,97.2,611485,596485,627199,641814,717692,1623246,1379814,1355625,629508,562724,758833,393364,183781,36.5,2214760,8123894,7866810,7459543,1655973,1335978,7866810,3836220,4030590,95.2,1335978,578085,757893,76.3,10081570,49.3,50.7,(X),6.1,5.9,6.2,6.4,7.1,16.1,13.7,13.4,6.2,5.6,7.5,3.9,1.8,(X),22.0,80.6,78.0,74.0,16.4,13.3,7866810,48.8,51.2,(X),1335978,43.3,56.7,(X),2019
1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",4283,2040,2243,90.9,283,259,200,169,254,652,555,580,384,220,430,219,78,41.4,874,3530,3409,3372,893,727,3409,1555,1854,83.9,727,248,479,51.8,4283,47.6,52.4,(X),6.6,6.0,4.7,3.9,5.9,15.2,13.0,13.5,9.0,5.1,10.0,5.1,1.8,(X),20.4,82.4,79.6,78.7,20.8,17.0,3409,45.6,54.4,(X),727,34.1,65.9,(X),2019
1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",3405,1626,1779,91.4,78,105,234,51,250,535,211,568,361,332,417,219,44,52.8,429,2988,2976,2911,853,680,2976,1473,1503,98.0,680,263,417,63.1,3405,47.8,52.2,(X),2.3,3.1,6.9,1.5,7.3,15.7,6.2,16.7,10.6,9.8,12.2,6.4,1.3,(X),12.6,87.8,87.4,85.5,25.1,20.0,2976,49.5,50.5,(X),680,38.7,61.3,(X),2019
1400000US06037101210,"Census Tract 1012.10, Los Angeles County, California",6347,3350,2997,111.8,422,477,383,383,466,848,1030,933,375,406,392,181,51,37.2,1480,5026,4867,4604,867,624,4867,2598,2269,114.5,624,330,294,112.2,6347,52.8,47.2,(X),6.6,7.5,6.0,6.0,7.3,13.4,16.2,14.7,5.9,6.4,6.2,2.9,0.8,(X),23.3,79.2,76.7,72.5,13.7,9.8,4867,53.4,46.6,(X),624,52.9,47.1,(X),2019
1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",3702,1717,1985,86.5,138,162,309,238,209,503,513,445,345,244,306,227,63,40.7,751,3064,2951,2771,757,596,2951,1401,1550,90.4,596,304,292,104.1,3702,46.4,53.6,(X),3.7,4.4,8.3,6.4,5.6,13.6,13.9,12.0,9.3,6.6,8.3,6.1,1.7,(X),20.3,82.8,79.7,74.9,20.4,16.1,2951,47.5,52.5,(X),596,51.0,49.0,(X),2019
1400000US06037101300,"Census Tract 1013, Los Angeles County, California",3884,1897,1987,95.5,89,214,93,89,136,460,363,620,317,563,442,272,226,53.1,439,3470,3445,3380,1299,940,3445,1625,1820,89.3,940,378,562,67.3,3884,48.8,51.2,(X),2.3,5.5,2.4,2.3,3.5,11.8,9.3,16.0,8.2,14.5,11.4,7.0,5.8,(X),11.3,89.3,88.7,87.0,33.4,24.2,3445,47.2,52.8,(X),940,40.2,59.8,(X),2019
1400000US06037101400,"Census Tract 1014, Los Angeles County, California",3458,1652,1806,91.5,133,138,148,140,254,390,437,579,313,266,392,161,107,46.5,515,3024,2943,2839,760,660,2943,1449,1494,97.0,660,269,391,68.8,3458,47.8,52.2,(X),3.8,4.0,4.3,4.0,7.3,11.3,12.6,16.7,9.1,7.7,11.3,4.7,3.1,(X),14.9,87.4,85.1,82.1,22.0,19.1,2943,49.2,50.8,(X),660,40.8,59.2,(X),2019
1400000US06037102103,"Census Tract 1021.03, Los Angeles County, California",1763,856,907,94.4,97,40,86,85,77,288,228,279,163,154,137,86,43,44.3,277,1530,1486,1438,332,266,1486,753,733,102.7,266,107,159,67.3,1763,48.6,51.4,(X),5.5,2.3,4.9,4.8,4.4,16.3,12.9,15.8,9.2,8.7,7.8,4.9,2.4,(X),15.7,86.8,84.3,81.6,18.8,15.1,1486,50.7,49.3,(X),266,40.2,59.8,(X),2019
1400000US06037102104,"Census Tract 1021.04, Los Angeles County, California",3721,1628,2093,77.8,218,118,153,208,272,479,407,553,281,297,302,331,102,45.1,567,3204,3154,2964,905,735,3154,1367,1787,76.5,735,296,439,67.4,3721,43.8,56.2,(X),5.9,3.2,4.1,5.6,7.3,12.9,10.9,14.9,7.6,8.0,8.1,8.9,2.7,(X),15.2,86.1,84.8,79.7,24.3,19.8,3154,43.3,56.7,(X),735,40.3,59.7,(X),2019
1400000US06037102105,"Census Tract 1021.05, Los Angeles County, California",1905,954,951,100.3,47,51,117,175,142,178,383,252,227,138,123,62,10,42.9,320,1651,1585,1469,296,195,1585,758,827,91.7,195,103,92,112.0,1905,50.1,49.9,(X),2.5,2.7,6.1,9.2,7.5,9.3,20.1,13.2,11.9,7.2,6.5,3.3,0.5,(X),16.8,86.7,83.2,77.1,15.5,10.2,1585,47.8,52.2,(X),195,52.8,47.2,(X),2019
